ID,Actual_Address,Actual_Longitude,Actual_Latitude,Matched_Address,Matched_Longitude,Matched_Latitude,Geodetic_Distance_m
32,Actual Address 32,Actual Long 32,Actual Lat 32,Matched Address 32,Matched Long 32,Matched Lat 32,14
33,Actual Address 33,Actual Long 33,Actual Lat 33,Matched Address 33,Matched Long 33,Matched Lat 33,224
34,Actual Address 34,Actual Long 34,Actual Lat 34,Matched Address 34,Matched Long 34,Matched Lat 34,5
35,Actual Address 35,Actual Long 35,Actual Lat 35,Matched Address 35,Matched Long 35,Matched Lat 35,22
36,Actual Address 36,Actual Long 36,Actual Lat 36,Matched Address 36,Matched Long 36,Matched Lat 36,13
37,Actual Address 37,Actual Long 37,Actual Lat 37,Matched Address 37,Matched Long 37,Matched Lat 37,4
38,Actual Address 38,Actual Long 38,Actual Lat 38,Matched Address 38,Matched Long 38,Matched Lat 38,10
39,Actual Address 39,Actual Long 39,Actual Lat 39,Matched Address 39,Matched Long 39,Matched Lat 39,13
40,Actual Address 40,Actual Long 40,Actual Lat 40,Matched Address 40,Matched Long 40,Matched Lat 40,15
41,Actual Address 41,Actual Long 41,Actual Lat 41,Matched Address 41,Matched Long 41,Matched Lat 41,18
42,Actual Address 42,Actual Long 42,Actual Lat 42,Matched Address 42,Matched Long 42,Matched Lat 42,21
43,Actual Address 43,Actual Long 43,Actual Lat 43,Matched Address 43,Matched Long 43,Matched Lat 43,1134
44,Actual Address 44,Actual Long 44,Actual Lat 44,Matched Address 44,Matched Long 44,Matched Lat 44,825
45,Actual Address 45,Actual Long 45,Actual Lat 45,Matched Address 45,Matched Long 45,Matched Lat 45,8
46,Actual Address 46,Actual Long 46,Actual Lat 46,Matched Address 46,Matched Long 46,Matched Lat 46,14
47,Actual Address 47,Actual Long 47,Actual Lat 47,Matched Address 47,Matched Long 47,Matched Lat 47,5
48,Actual Address 48,Actual Long 48,Actual Lat 48,Matched Address 48,Matched Long 48,Matched Lat 48,20
49,Actual Address 49,Actual Long 49,Actual Lat 49,Matched Address 49,Matched Long 49,Matched Lat 49,15
50,Actual Address 50,Actual Long 50,Actual Lat 50,Matched Address 50,Matched Long 50,Matched Lat 50,66
51,Actual Address 51,Actual Long 51,Actual Lat 51,Matched Address 51,Matched Long 51,Matched Lat 51,14
52,Actual Address 52,Actual Long 52,Actual Lat 52,Matched Address 52,Matched Long 52,Matched Lat 52,10
53,Actual Address 53,Actual Long 53,Actual Lat 53,Matched Address 53,Matched Long 53,Matched Lat 53,11
54,Actual Address 54,Actual Long 54,Actual Lat 54,Matched Address 54,Matched Long 54,Matched Lat 54,16
55,Actual Address 55,Actual Long 55,Actual Lat 55,Matched Address 55,Matched Long 55,Matched Lat 55,19
56,Actual Address 56,Actual Long 56,Actual Lat 56,Matched Address 56,Matched Long 56,Matched Lat 56,12
57,Actual Address 57,Actual Long 57,Actual Lat 57,Matched Address 57,Matched Long 57,Matched Lat 57,14
58,Actual Address 58,Actual Long 58,Actual Lat 58,Matched Address 58,Matched Long 58,Matched Lat 58,25
59,Actual Address 59,Actual Long 59,Actual Lat 59,Matched Address 59,Matched Long 59,Matched Lat 59,13
60,Actual Address 60,Actual Long 60,Actual Lat 60,Matched Address 60,Matched Long 60,Matched Lat 60,46
61,Actual Address 61,Actual Long 61,Actual Lat 61,Matched Address 61,Matched Long 61,Matched Lat 61,10
62,Actual Address 62,Actual Long 62,Actual Lat 62,Matched Address 62,Matched Long 62,Matched Lat 62,195
63,Actual Address 63,Actual Long 63,Actual Lat 63,Matched Address 63,Matched Long 63,Matched Lat 63,24
64,Actual Address 64,Actual Long 64,Actual Lat 64,Matched Address 64,Matched Long 64,Matched Lat 64,712
65,Actual Address 65,Actual Long 65,Actual Lat 65,Matched Address 65,Matched Long 65,Matched Lat 65,41
66,Actual Address 66,Actual Long 66,Actual Lat 66,Matched Address 66,Matched Long 66,Matched Lat 66,77
67,Actual Address 67,Actual Long 67,Actual Lat 67,Matched Address 67,Matched Long 67,Matched Lat 67,10
68,Actual Address 68,Actual Long 68,Actual Lat 68,Matched Address 68,Matched Long 68,Matched Lat 68,13
69,Actual Address 69,Actual Long 69,Actual Lat 69,Matched Address 69,Matched Long 69,Matched Lat 69,3
70,Actual Address 70,Actual Long 70,Actual Lat 70,Matched Address 70,Matched Long 70,Matched Lat 70,67
71,Actual Address 71,Actual Long 71,Actual Lat 71,Matched Address 71,Matched Long 71,Matched Lat 71,13
72,Actual Address 72,Actual Long 72,Actual Lat 72,Matched Address 72,Matched Long 72,Matched Lat 72,11
73,Actual Address 73,Actual Long 73,Actual Lat 73,Matched Address 73,Matched Long 73,Matched Lat 73,11
74,Actual Address 74,Actual Long 74,Actual Lat 74,Matched Address 74,Matched Long 74,Matched Lat 74,18
75,Actual Address 75,Actual Long 75,Actual Lat 75,Matched Address 75,Matched Long 75,Matched Lat 75,18
76,Actual Address 76,Actual Long 76,Actual Lat 76,Matched Address 76,Matched Long 76,Matched Lat 76,53
77,Actual Address 77,Actual Long 77,Actual Lat 77,Matched Address 77,Matched Long 77,Matched Lat 77,22
78,Actual Address 78,Actual Long 78,Actual Lat 78,Matched Address 78,Matched Long 78,Matched Lat 78,7
79,Actual Address 79,Actual Long 79,Actual Lat 79,Matched Address 79,Matched Long 79,Matched Lat 79,43
80,Actual Address 80,Actual Long 80,Actual Lat 80,Matched Address 80,Matched Long 80,Matched Lat 80,12
81,Actual Address 81,Actual Long 81,Actual Lat 81,Matched Address 81,Matched Long 81,Matched Lat 81,11
82,Actual Address 82,Actual Long 82,Actual Lat 82,Matched Address 82,Matched Long 82,Matched Lat 82,15
83,Actual Address 83,Actual Long 83,Actual Lat 83,Matched Address 83,Matched Long 83,Matched Lat 83,3
84,Actual Address 84,Actual Long 84,Actual Lat 84,Matched Address 84,Matched Long 84,Matched Lat 84,25
85,Actual Address 85,Actual Long 85,Actual Lat 85,Matched Address 85,Matched Long 85,Matched Lat 85,114
86,Actual Address 86,Actual Long 86,Actual Lat 86,Matched Address 86,Matched Long 86,Matched Lat 86,14
87,Actual Address 87,Actual Long 87,Actual Lat 87,Matched Address 87,Matched Long 87,Matched Lat 87,15
88,Actual Address 88,Actual Long 88,Actual Lat 88,Matched Address 88,Matched Long 88,Matched Lat 88,15
89,Actual Address 89,Actual Long 89,Actual Lat 89,Matched Address 89,Matched Long 89,Matched Lat 89,9
90,Actual Address 90,Actual Long 90,Actual Lat 90,Matched Address 90,Matched Long 90,Matched Lat 90,15
91,Actual Address 91,Actual Long 91,Actual Lat 91,Matched Address 91,Matched Long 91,Matched Lat 91,10
92,Actual Address 92,Actual Long 92,Actual Lat 92,Matched Address 92,Matched Long 92,Matched Lat 92,24
93,Actual Address 93,Actual Long 93,Actual Lat 93,Matched Address 93,Matched Long 93,Matched Lat 93,45
94,Actual Address 94,Actual Long 94,Actual Lat 94,Matched Address 94,Matched Long 94,Matched Lat 94,20
95,Actual Address 95,Actual Long 95,Actual Lat 95,Matched Address 95,Matched Long 95,Matched Lat 95,19
96,Actual Address 96,Actual Long 96,Actual Lat 96,Matched Address 96,Matched Long 96,Matched Lat 96,12
97,Actual Address 97,Actual Long 97,Actual Lat 97,Matched Address 97,Matched Long 97,Matched Lat 97,11
98,Actual Address 98,Actual Long 98,Actual Lat 98,Matched Address 98,Matched Long 98,Matched Lat 98,995
99,Actual Address 99,Actual Long 99,Actual Lat 99,Matched Address 99,Matched Long 99,Matched Lat 99,13
100,Actual Address 100,Actual Long 100,Actual Lat 100,Matched Address 100,Matched Long 100,Matched Lat 100,8
101,Actual Address 101,Actual Long 101,Actual Lat 101,Matched Address 101,Matched Long 101,Matched Lat 101,334
102,Actual Address 102,Actual Long 102,Actual Lat 102,Matched Address 102,Matched Long 102,Matched Lat 102,19
103,Actual Address 103,Actual Long 103,Actual Lat 103,Matched Address 103,Matched Long 103,Matched Lat 103,26
104,Actual Address 104,Actual Long 104,Actual Lat 104,Matched Address 104,Matched Long 104,Matched Lat 104,13
105,Actual Address 105,Actual Long 105,Actual Lat 105,Matched Address 105,Matched Long 105,Matched Lat 105,41
106,Actual Address 106,Actual Long 106,Actual Lat 106,Matched Address 106,Matched Long 106,Matched Lat 106,2524
107,Actual Address 107,Actual Long 107,Actual Lat 107,Matched Address 107,Matched Long 107,Matched Lat 107,1457
108,Actual Address 108,Actual Long 108,Actual Lat 108,Matched Address 108,Matched Long 108,Matched Lat 108,66
109,Actual Address 109,Actual Long 109,Actual Lat 109,Matched Address 109,Matched Long 109,Matched Lat 109,10
110,Actual Address 110,Actual Long 110,Actual Lat 110,Matched Address 110,Matched Long 110,Matched Lat 110,8
111,Actual Address 111,Actual Long 111,Actual Lat 111,Matched Address 111,Matched Long 111,Matched Lat 111,8
112,Actual Address 112,Actual Long 112,Actual Lat 112,Matched Address 112,Matched Long 112,Matched Lat 112,187
113,Actual Address 113,Actual Long 113,Actual Lat 113,Matched Address 113,Matched Long 113,Matched Lat 113,14
114,Actual Address 114,Actual Long 114,Actual Lat 114,Matched Address 114,Matched Long 114,Matched Lat 114,54
115,Actual Address 115,Actual Long 115,Actual Lat 115,Matched Address 115,Matched Long 115,Matched Lat 115,5
116,Actual Address 116,Actual Long 116,Actual Lat 116,Matched Address 116,Matched Long 116,Matched Lat 116,304
117,Actual Address 117,Actual Long 117,Actual Lat 117,Matched Address 117,Matched Long 117,Matched Lat 117,11
118,Actual Address 118,Actual Long 118,Actual Lat 118,Matched Address 118,Matched Long 118,Matched Lat 118,13
119,Actual Address 119,Actual Long 119,Actual Lat 119,Matched Address 119,Matched Long 119,Matched Lat 119,9
120,Actual Address 120,Actual Long 120,Actual Lat 120,Matched Address 120,Matched Long 120,Matched Lat 120,17
121,Actual Address 121,Actual Long 121,Actual Lat 121,Matched Address 121,Matched Long 121,Matched Lat 121,14
122,Actual Address 122,Actual Long 122,Actual Lat 122,Matched Address 122,Matched Long 122,Matched Lat 122,10
123,Actual Address 123,Actual Long 123,Actual Lat 123,Matched Address 123,Matched Long 123,Matched Lat 123,13
124,Actual Address 124,Actual Long 124,Actual Lat 124,Matched Address 124,Matched Long 124,Matched Lat 124,12
125,Actual Address 125,Actual Long 125,Actual Lat 125,Matched Address 125,Matched Long 125,Matched Lat 125,16
126,Actual Address 126,Actual Long 126,Actual Lat 126,Matched Address 126,Matched Long 126,Matched Lat 126,13
127,Actual Address 127,Actual Long 127,Actual Lat 127,Matched Address 127,Matched Long 127,Matched Lat 127,14
128,Actual Address 128,Actual Long 128,Actual Lat 128,Matched Address 128,Matched Long 128,Matched Lat 128,11
129,Actual Address 129,Actual Long 129,Actual Lat 129,Matched Address 129,Matched Long 129,Matched Lat 129,7
130,Actual Address 130,Actual Long 130,Actual Lat 130,Matched Address 130,Matched Long 130,Matched Lat 130,123
131,Actual Address 131,Actual Long 131,Actual Lat 131,Matched Address 131,Matched Long 131,Matched Lat 131,11
132,Actual Address 132,Actual Long 132,Actual Lat 132,Matched Address 132,Matched Long 132,Matched Lat 132,7
133,Actual Address 133,Actual Long 133,Actual Lat 133,Matched Address 133,Matched Long 133,Matched Lat 133,31
134,Actual Address 134,Actual Long 134,Actual Lat 134,Matched Address 134,Matched Long 134,Matched Lat 134,15
135,Actual Address 135,Actual Long 135,Actual Lat 135,Matched Address 135,Matched Long 135,Matched Lat 135,20
136,Actual Address 136,Actual Long 136,Actual Lat 136,Matched Address 136,Matched Long 136,Matched Lat 136,8
137,Actual Address 137,Actual Long 137,Actual Lat 137,Matched Address 137,Matched Long 137,Matched Lat 137,202
138,Actual Address 138,Actual Long 138,Actual Lat 138,Matched Address 138,Matched Long 138,Matched Lat 138,14
139,Actual Address 139,Actual Long 139,Actual Lat 139,Matched Address 139,Matched Long 139,Matched Lat 139,84
140,Actual Address 140,Actual Long 140,Actual Lat 140,Matched Address 140,Matched Long 140,Matched Lat 140,15
141,Actual Address 141,Actual Long 141,Actual Lat 141,Matched Address 141,Matched Long 141,Matched Lat 141,10
142,Actual Address 142,Actual Long 142,Actual Lat 142,Matched Address 142,Matched Long 142,Matched Lat 142,128
143,Actual Address 143,Actual Long 143,Actual Lat 143,Matched Address 143,Matched Long 143,Matched Lat 143,299
144,Actual Address 144,Actual Long 144,Actual Lat 144,Matched Address 144,Matched Long 144,Matched Lat 144,12
145,Actual Address 145,Actual Long 145,Actual Lat 145,Matched Address 145,Matched Long 145,Matched Lat 145,7
146,Actual Address 146,Actual Long 146,Actual Lat 146,Matched Address 146,Matched Long 146,Matched Lat 146,22
147,Actual Address 147,Actual Long 147,Actual Lat 147,Matched Address 147,Matched Long 147,Matched Lat 147,9
148,Actual Address 148,Actual Long 148,Actual Lat 148,Matched Address 148,Matched Long 148,Matched Lat 148,18
149,Actual Address 149,Actual Long 149,Actual Lat 149,Matched Address 149,Matched Long 149,Matched Lat 149,2
150,Actual Address 150,Actual Long 150,Actual Lat 150,Matched Address 150,Matched Long 150,Matched Lat 150,896
151,Actual Address 151,Actual Long 151,Actual Lat 151,Matched Address 151,Matched Long 151,Matched Lat 151,12
152,Actual Address 152,Actual Long 152,Actual Lat 152,Matched Address 152,Matched Long 152,Matched Lat 152,22
153,Actual Address 153,Actual Long 153,Actual Lat 153,Matched Address 153,Matched Long 153,Matched Lat 153,10
154,Actual Address 154,Actual Long 154,Actual Lat 154,Matched Address 154,Matched Long 154,Matched Lat 154,538
155,Actual Address 155,Actual Long 155,Actual Lat 155,Matched Address 155,Matched Long 155,Matched Lat 155,10
156,Actual Address 156,Actual Long 156,Actual Lat 156,Matched Address 156,Matched Long 156,Matched Lat 156,919
157,Actual Address 157,Actual Long 157,Actual Lat 157,Matched Address 157,Matched Long 157,Matched Lat 157,20
158,Actual Address 158,Actual Long 158,Actual Lat 158,Matched Address 158,Matched Long 158,Matched Lat 158,19
159,Actual Address 159,Actual Long 159,Actual Lat 159,Matched Address 159,Matched Long 159,Matched Lat 159,37
160,Actual Address 160,Actual Long 160,Actual Lat 160,Matched Address 160,Matched Long 160,Matched Lat 160,32
161,Actual Address 161,Actual Long 161,Actual Lat 161,Matched Address 161,Matched Long 161,Matched Lat 161,17
162,Actual Address 162,Actual Long 162,Actual Lat 162,Matched Address 162,Matched Long 162,Matched Lat 162,17
163,Actual Address 163,Actual Long 163,Actual Lat 163,Matched Address 163,Matched Long 163,Matched Lat 163,20
164,Actual Address 164,Actual Long 164,Actual Lat 164,Matched Address 164,Matched Long 164,Matched Lat 164,8
165,Actual Address 165,Actual Long 165,Actual Lat 165,Matched Address 165,Matched Long 165,Matched Lat 165,12
166,Actual Address 166,Actual Long 166,Actual Lat 166,Matched Address 166,Matched Long 166,Matched Lat 166,14
167,Actual Address 167,Actual Long 167,Actual Lat 167,Matched Address 167,Matched Long 167,Matched Lat 167,21
168,Actual Address 168,Actual Long 168,Actual Lat 168,Matched Address 168,Matched Long 168,Matched Lat 168,14
169,Actual Address 169,Actual Long 169,Actual Lat 169,Matched Address 169,Matched Long 169,Matched Lat 169,1
170,Actual Address 170,Actual Long 170,Actual Lat 170,Matched Address 170,Matched Long 170,Matched Lat 170,15
171,Actual Address 171,Actual Long 171,Actual Lat 171,Matched Address 171,Matched Long 171,Matched Lat 171,20
172,Actual Address 172,Actual Long 172,Actual Lat 172,Matched Address 172,Matched Long 172,Matched Lat 172,10
173,Actual Address 173,Actual Long 173,Actual Lat 173,Matched Address 173,Matched Long 173,Matched Lat 173,24
174,Actual Address 174,Actual Long 174,Actual Lat 174,Matched Address 174,Matched Long 174,Matched Lat 174,12
175,Actual Address 175,Actual Long 175,Actual Lat 175,Matched Address 175,Matched Long 175,Matched Lat 175,7
176,Actual Address 176,Actual Long 176,Actual Lat 176,Matched Address 176,Matched Long 176,Matched Lat 176,2174
177,Actual Address 177,Actual Long 177,Actual Lat 177,Matched Address 177,Matched Long 177,Matched Lat 177,15
178,Actual Address 178,Actual Long 178,Actual Lat 178,Matched Address 178,Matched Long 178,Matched Lat 178,25
179,Actual Address 179,Actual Long 179,Actual Lat 179,Matched Address 179,Matched Long 179,Matched Lat 179,30
180,Actual Address 180,Actual Long 180,Actual Lat 180,Matched Address 180,Matched Long 180,Matched Lat 180,13
181,Actual Address 181,Actual Long 181,Actual Lat 181,Matched Address 181,Matched Long 181,Matched Lat 181,27
182,Actual Address 182,Actual Long 182,Actual Lat 182,Matched Address 182,Matched Long 182,Matched Lat 182,10
183,Actual Address 183,Actual Long 183,Actual Lat 183,Matched Address 183,Matched Long 183,Matched Lat 183,3
184,Actual Address 184,Actual Long 184,Actual Lat 184,Matched Address 184,Matched Long 184,Matched Lat 184,8
185,Actual Address 185,Actual Long 185,Actual Lat 185,Matched Address 185,Matched Long 185,Matched Lat 185,4
186,Actual Address 186,Actual Long 186,Actual Lat 186,Matched Address 186,Matched Long 186,Matched Lat 186,83
187,Actual Address 187,Actual Long 187,Actual Lat 187,Matched Address 187,Matched Long 187,Matched Lat 187,19
188,Actual Address 188,Actual Long 188,Actual Lat 188,Matched Address 188,Matched Long 188,Matched Lat 188,11
189,Actual Address 189,Actual Long 189,Actual Lat 189,Matched Address 189,Matched Long 189,Matched Lat 189,755
190,Actual Address 190,Actual Long 190,Actual Lat 190,Matched Address 190,Matched Long 190,Matched Lat 190,31
191,Actual Address 191,Actual Long 191,Actual Lat 191,Matched Address 191,Matched Long 191,Matched Lat 191,10
192,Actual Address 192,Actual Long 192,Actual Lat 192,Matched Address 192,Matched Long 192,Matched Lat 192,16
193,Actual Address 193,Actual Long 193,Actual Lat 193,Matched Address 193,Matched Long 193,Matched Lat 193,14
194,Actual Address 194,Actual Long 194,Actual Lat 194,Matched Address 194,Matched Long 194,Matched Lat 194,688
195,Actual Address 195,Actual Long 195,Actual Lat 195,Matched Address 195,Matched Long 195,Matched Lat 195,8
196,Actual Address 196,Actual Long 196,Actual Lat 196,Matched Address 196,Matched Long 196,Matched Lat 196,334
197,Actual Address 197,Actual Long 197,Actual Lat 197,Matched Address 197,Matched Long 197,Matched Lat 197,21
198,Actual Address 198,Actual Long 198,Actual Lat 198,Matched Address 198,Matched Long 198,Matched Lat 198,9
199,Actual Address 199,Actual Long 199,Actual Lat 199,Matched Address 199,Matched Long 199,Matched Lat 199,87
200,Actual Address 200,Actual Long 200,Actual Lat 200,Matched Address 200,Matched Long 200,Matched Lat 200,9
201,Actual Address 201,Actual Long 201,Actual Lat 201,Matched Address 201,Matched Long 201,Matched Lat 201,4
202,Actual Address 202,Actual Long 202,Actual Lat 202,Matched Address 202,Matched Long 202,Matched Lat 202,10
203,Actual Address 203,Actual Long 203,Actual Lat 203,Matched Address 203,Matched Long 203,Matched Lat 203,1
204,Actual Address 204,Actual Long 204,Actual Lat 204,Matched Address 204,Matched Long 204,Matched Lat 204,6
205,Actual Address 205,Actual Long 205,Actual Lat 205,Matched Address 205,Matched Long 205,Matched Lat 205,43
206,Actual Address 206,Actual Long 206,Actual Lat 206,Matched Address 206,Matched Long 206,Matched Lat 206,103
207,Actual Address 207,Actual Long 207,Actual Lat 207,Matched Address 207,Matched Long 207,Matched Lat 207,11
208,Actual Address 208,Actual Long 208,Actual Lat 208,Matched Address 208,Matched Long 208,Matched Lat 208,9
209,Actual Address 209,Actual Long 209,Actual Lat 209,Matched Address 209,Matched Long 209,Matched Lat 209,13
210,Actual Address 210,Actual Long 210,Actual Lat 210,Matched Address 210,Matched Long 210,Matched Lat 210,10
211,Actual Address 211,Actual Long 211,Actual Lat 211,Matched Address 211,Matched Long 211,Matched Lat 211,15
212,Actual Address 212,Actual Long 212,Actual Lat 212,Matched Address 212,Matched Long 212,Matched Lat 212,24
213,Actual Address 213,Actual Long 213,Actual Lat 213,Matched Address 213,Matched Long 213,Matched Lat 213,10
214,Actual Address 214,Actual Long 214,Actual Lat 214,Matched Address 214,Matched Long 214,Matched Lat 214,16
215,Actual Address 215,Actual Long 215,Actual Lat 215,Matched Address 215,Matched Long 215,Matched Lat 215,12
216,Actual Address 216,Actual Long 216,Actual Lat 216,Matched Address 216,Matched Long 216,Matched Lat 216,13
217,Actual Address 217,Actual Long 217,Actual Lat 217,Matched Address 217,Matched Long 217,Matched Lat 217,10
218,Actual Address 218,Actual Long 218,Actual Lat 218,Matched Address 218,Matched Long 218,Matched Lat 218,34
219,Actual Address 219,Actual Long 219,Actual Lat 219,Matched Address 219,Matched Long 219,Matched Lat 219,11
220,Actual Address 220,Actual Long 220,Actual Lat 220,Matched Address 220,Matched Long 220,Matched Lat 220,14
221,Actual Address 221,Actual Long 221,Actual Lat 221,Matched Address 221,Matched Long 221,Matched Lat 221,26
222,Actual Address 222,Actual Long 222,Actual Lat 222,Matched Address 222,Matched Long 222,Matched Lat 222,13
223,Actual Address 223,Actual Long 223,Actual Lat 223,Matched Address 223,Matched Long 223,Matched Lat 223,13
224,Actual Address 224,Actual Long 224,Actual Lat 224,Matched Address 224,Matched Long 224,Matched Lat 224,54
225,Actual Address 225,Actual Long 225,Actual Lat 225,Matched Address 225,Matched Long 225,Matched Lat 225,7
226,Actual Address 226,Actual Long 226,Actual Lat 226,Matched Address 226,Matched Long 226,Matched Lat 226,10
227,Actual Address 227,Actual Long 227,Actual Lat 227,Matched Address 227,Matched Long 227,Matched Lat 227,6
228,Actual Address 228,Actual Long 228,Actual Lat 228,Matched Address 228,Matched Long 228,Matched Lat 228,282
229,Actual Address 229,Actual Long 229,Actual Lat 229,Matched Address 229,Matched Long 229,Matched Lat 229,905
230,Actual Address 230,Actual Long 230,Actual Lat 230,Matched Address 230,Matched Long 230,Matched Lat 230,14
231,Actual Address 231,Actual Long 231,Actual Lat 231,Matched Address 231,Matched Long 231,Matched Lat 231,6
232,Actual Address 232,Actual Long 232,Actual Lat 232,Matched Address 232,Matched Long 232,Matched Lat 232,7
233,Actual Address 233,Actual Long 233,Actual Lat 233,Matched Address 233,Matched Long 233,Matched Lat 233,557
234,Actual Address 234,Actual Long 234,Actual Lat 234,Matched Address 234,Matched Long 234,Matched Lat 234,15
235,Actual Address 235,Actual Long 235,Actual Lat 235,Matched Address 235,Matched Long 235,Matched Lat 235,16
236,Actual Address 236,Actual Long 236,Actual Lat 236,Matched Address 236,Matched Long 236,Matched Lat 236,10877
237,Actual Address 237,Actual Long 237,Actual Lat 237,Matched Address 237,Matched Long 237,Matched Lat 237,4
238,Actual Address 238,Actual Long 238,Actual Lat 238,Matched Address 238,Matched Long 238,Matched Lat 238,39
239,Actual Address 239,Actual Long 239,Actual Lat 239,Matched Address 239,Matched Long 239,Matched Lat 239,20
240,Actual Address 240,Actual Long 240,Actual Lat 240,Matched Address 240,Matched Long 240,Matched Lat 240,16
241,Actual Address 241,Actual Long 241,Actual Lat 241,Matched Address 241,Matched Long 241,Matched Lat 241,12
242,Actual Address 242,Actual Long 242,Actual Lat 242,Matched Address 242,Matched Long 242,Matched Lat 242,8
243,Actual Address 243,Actual Long 243,Actual Lat 243,Matched Address 243,Matched Long 243,Matched Lat 243,1722
244,Actual Address 244,Actual Long 244,Actual Lat 244,Matched Address 244,Matched Long 244,Matched Lat 244,13
245,Actual Address 245,Actual Long 245,Actual Lat 245,Matched Address 245,Matched Long 245,Matched Lat 245,15
246,Actual Address 246,Actual Long 246,Actual Lat 246,Matched Address 246,Matched Long 246,Matched Lat 246,340
247,Actual Address 247,Actual Long 247,Actual Lat 247,Matched Address 247,Matched Long 247,Matched Lat 247,16
248,Actual Address 248,Actual Long 248,Actual Lat 248,Matched Address 248,Matched Long 248,Matched Lat 248,19
249,Actual Address 249,Actual Long 249,Actual Lat 249,Matched Address 249,Matched Long 249,Matched Lat 249,22
250,Actual Address 250,Actual Long 250,Actual Lat 250,Matched Address 250,Matched Long 250,Matched Lat 250,33
251,Actual Address 251,Actual Long 251,Actual Lat 251,Matched Address 251,Matched Long 251,Matched Lat 251,13
252,Actual Address 252,Actual Long 252,Actual Lat 252,Matched Address 252,Matched Long 252,Matched Lat 252,109
253,Actual Address 253,Actual Long 253,Actual Lat 253,Matched Address 253,Matched Long 253,Matched Lat 253,14
254,Actual Address 254,Actual Long 254,Actual Lat 254,Matched Address 254,Matched Long 254,Matched Lat 254,8
255,Actual Address 255,Actual Long 255,Actual Lat 255,Matched Address 255,Matched Long 255,Matched Lat 255,20
